               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,             0.04903,             0.52009,                   0,             0.90922,             0.80454,             0.87373,             0.52731,            0.046508,             0.43126,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.049366,             0.52414,                   0,             0.90256,             0.81152,             0.87506,               0.529,            0.046345,             0.43193,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.049769,             0.52098,                   0,             0.90458,             0.80905,             0.87273,             0.52722,            0.046508,             0.43329,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.048107,             0.51195,                   0,             0.91196,             0.80158,             0.87204,             0.52728,            0.046478,             0.43213,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.048658,             0.50634,                   0,             0.90099,              0.8158,             0.87516,             0.52971,             0.04634,             0.43449,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.048777,             0.51415,                   0,              0.9109,             0.80566,             0.87458,             0.52997,            0.046273,             0.43132,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.048507,             0.51289,                   0,             0.91678,             0.79945,             0.87181,              0.5286,            0.046367,             0.43166,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.048542,             0.51272,                   0,             0.91124,              0.8119,             0.87675,             0.53188,            0.046181,             0.43048,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.048354,             0.50848,                   0,             0.91021,             0.80859,             0.87541,             0.53113,             0.04618,             0.43151,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.048277,             0.50793,                   0,             0.90794,             0.81044,             0.87475,             0.52987,            0.046312,              0.4318,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.048541,             0.50971,                   0,             0.90596,             0.81191,               0.875,             0.53128,            0.046285,             0.43182,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.047926,             0.50045,                   0,             0.90782,             0.81194,             0.87462,              0.5322,            0.046153,             0.43107,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.048153,             0.50636,                   0,             0.90333,             0.81742,             0.87759,              0.5329,            0.045996,              0.4324,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.048056,             0.50505,                   0,             0.90866,             0.81044,             0.87586,             0.53176,            0.046084,             0.43115,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.047752,             0.50264,                   0,             0.91162,             0.80861,             0.87464,             0.53176,            0.046192,             0.43016,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.048012,             0.50874,                   0,              0.9065,             0.81482,             0.87734,             0.53423,            0.046146,             0.43206,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.048585,             0.50387,                   0,             0.90805,             0.81416,             0.87819,             0.53471,            0.046048,             0.43104,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.047521,              0.4957,                   0,             0.90939,             0.81126,             0.87549,             0.53335,            0.046024,             0.43049,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.047893,             0.49315,                   0,             0.91548,             0.80591,             0.87417,             0.53243,            0.046046,             0.43152,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.048222,             0.51291,                   0,             0.91208,             0.80753,             0.87566,             0.53308,             0.04611,             0.43104,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.047971,             0.49864,                   0,             0.91222,             0.81027,             0.87405,             0.53283,             0.04602,             0.43143,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.047555,             0.49257,                   0,             0.90723,              0.8139,              0.8768,             0.53398,             0.04602,             0.43193,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.04789,             0.50742,                   0,             0.90991,             0.81233,             0.87528,             0.53394,            0.046038,              0.4314,                   0,            0.002476,            0.002476,            0.002476
